LSOA_CODE,Pupil absence rates,Absence 10
E01014690,10.9,6.758
E01015257,10.9,6.758
E01015442,10.9,6.758
E01015443,10.9,6.758
E01008389,10.8,6.696
E01008417,10.8,6.696
E01008430,10.8,6.696
E01008454,10.8,6.696
E01008731,10.8,6.696
E01005161,10.8,6.696
E01005247,10.8,6.696
E01005615,10.8,6.696
E01005630,10.8,6.696
E01005660,10.8,6.696
E01005661,10.8,6.696
E01005719,10.8,6.696
E01006494,10.8,6.696
E01006556,10.8,6.696
E01006562,10.8,6.696
E01006610,10.8,6.696
E01006674,10.8,6.696
E01006690,10.8,6.696
E01006692,10.8,6.696
E01006698,10.8,6.696
E01006699,10.8,6.696
E01006702,10.8,6.696
E01006730,10.8,6.696
E01012751,10.8,6.696
E01018315,10.8,6.696
E01018739,10.8,6.696
E01007534,10.8,6.696
E01007555,10.8,6.696
E01007578,10.8,6.696
E01007629,10.8,6.696
E01008124,10.8,6.696
E01010610,10.8,6.696
E01010650,10.8,6.696
E01010680,10.8,6.696
E01010684,10.8,6.696
E01010914,10.8,6.696
E01011281,10.8,6.696
E01011284,10.8,6.696
E01011327,10.8,6.696
E01011361,10.8,6.696
E01011363,10.8,6.696
E01011481,10.8,6.696
E01011491,10.8,6.696
E01011493,10.8,6.696
E01011618,10.8,6.696
E01011625,10.8,6.696
E01011725,10.8,6.696
E01012804,10.8,6.696
E01012865,10.8,6.696
E01012949,10.8,6.696
E01013144,10.8,6.696
E01013179,10.8,6.696
E01013180,10.8,6.696
E01013219,10.8,6.696
E01013784,10.8,6.696
E01013942,10.8,6.696
E01027214,10.8,6.696
E01028002,10.8,6.696
E01028062,10.8,6.696
E01028265,10.8,6.696
E01009115,10.8,6.696
E01009750,10.8,6.696
E01010018,10.8,6.696
E01010456,10.8,6.696
E01014071,10.8,6.696
E01016008,10.8,6.696
E01021997,10.8,6.696
E01022004,10.8,6.696
E01022029,10.8,6.696
E01022038,10.8,6.696
E01026622,10.8,6.696
E01026626,10.8,6.696
E01026817,10.8,6.696
E01030290,10.8,6.696
E01017102,10.8,6.696
E01017151,10.8,6.696
E01017231,10.8,6.696
E01017267,10.8,6.696
E01024763,10.8,6.696
E01014515,10.8,6.696
E01014613,10.8,6.696
E01014694,10.8,6.696
E01014725,10.8,6.696
E01008392,10.7,6.634
E01008432,10.7,6.634
E01008439,10.7,6.634
E01008457,10.7,6.634
E01008813,10.7,6.634
E01008814,10.7,6.634
E01012019,10.7,6.634
E01012058,10.7,6.634
E01005070,10.7,6.634
E01005094,10.7,6.634
E01005704,10.7,6.634
E01005725,10.7,6.634
E01006467,10.7,6.634
E01006599,10.7,6.634
E01006607,10.7,6.634
E01006638,10.7,6.634
E01006694,10.7,6.634
E01006700,10.7,6.634
E01006722,10.7,6.634
E01006726,10.7,6.634
E01006737,10.7,6.634
E01006747,10.7,6.634
E01006789,10.7,6.634
E01012520,10.7,6.634
E01018463,10.7,6.634
E01019223,10.7,6.634
E01025307,10.7,6.634
E01025573,10.7,6.634
E01025583,10.7,6.634
E01007498,10.7,6.634
E01007501,10.7,6.634
E01007529,10.7,6.634
E01007556,10.7,6.634
E01007571,10.7,6.634
E01007575,10.7,6.634
E01007579,10.7,6.634
E01007627,10.7,6.634
E01007628,10.7,6.634
E01007754,10.7,6.634
E01007760,10.7,6.634
E01007762,10.7,6.634
E01007950,10.7,6.634
E01007999,10.7,6.634
E01008002,10.7,6.634
E01008076,10.7,6.634
E01008118,10.7,6.634
E01008121,10.7,6.634
E01010615,10.7,6.634
E01010686,10.7,6.634
E01010730,10.7,6.634
E01011293,10.7,6.634
E01011430,10.7,6.634
E01011437,10.7,6.634
E01011449,10.7,6.634
E01011497,10.7,6.634
E01011500,10.7,6.634
E01011669,10.7,6.634
E01011721,10.7,6.634
E01011724,10.7,6.634
E01011750,10.7,6.634
E01013137,10.7,6.634
E01013147,10.7,6.634
E01013176,10.7,6.634
E01013218,10.7,6.634
E01013834,10.7,6.634
E01013956,10.7,6.634
E01013961,10.7,6.634
E01027199,10.7,6.634
E01028245,10.7,6.634
E01028264,10.7,6.634
E01028266,10.7,6.634
E01009664,10.7,6.634
E01009980,10.7,6.634
E01010069,10.7,6.634
E01014261,10.7,6.634
E01015935,10.7,6.634
E01021573,10.7,6.634
E01022001,10.7,6.634
E01022006,10.7,6.634
E01022026,10.7,6.634
E01026595,10.7,6.634
E01026624,10.7,6.634
E01026795,10.7,6.634
E01026818,10.7,6.634
E01026866,10.7,6.634
E01029994,10.7,6.634
E01002440,10.7,6.634
E01017270,10.7,6.634
E01017338,10.7,6.634
E01017344,10.7,6.634
E01022540,10.7,6.634
E01022677,10.7,6.634
E01024682,10.7,6.634
E01024735,10.7,6.634
